img_id,Nikita,Victor,Hugo,annotator_4,annotator_5
PAT_106_159_325.png,0,0,0,,
PAT_1006_53_716.png,0,0,0,,
PAT_621_1183_56.png,1,1,1,,
PAT_288_441_312.png,0,0,0,,
PAT_1278_965_701.png,1,1,0,,
PAT_953_1806_326.png,0,0,0,,
PAT_940_1774_962.png,0,0,0,,
PAT_375_763_980.png,1,1,1,,
PAT_587_3431_6.png,0,0,0,,
PAT_831_1570_991.png,0,0,0,,
PAT_2155_4784_483.png,0,0,0,,
PAT_838_1587_73.png,0,0,0,,
PAT_161_250_338.png,1,1,1,,
PAT_439_859_283.png,0,0,0,,
PAT_974_1841_693.png,1,1,1,,
PAT_771_1491_390.png,0,0,0,,
PAT_354_731_155.png,0,0,0,,
PAT_2048_4333_63.png,0,0,0,,
PAT_2050_4350_36.png,1,1,1,,
PAT_1397_1361_183.png,0,0,0,,
PAT_397_797_742.png,1,1,1,,
PAT_654_1244_16.png,0,0,0,,
PAT_381_775_253.png,1,1,1,,
PAT_539_1023_878.png,0,0,0,,
PAT_924_1757_784.png,0,0,0,,
PAT_452_882_896.png,1,1,1,,
PAT_749_1414_770.png,1,1,1,,
PAT_2131_4683_112.png,1,1,1,,
PAT_356_736_188.png,0,0,0,,
PAT_697_1317_892.png,0,0,0,,
PAT_1720_3208_130.png,0,0,0,,
PAT_86_1082_41.png,1,0,1,,
PAT_1314_1108_442.png,0,0,0,,
PAT_1764_3335_803.png,0,0,0,,
PAT_835_1578_592.png,0,0,0,,
PAT_184_284_721.png,0,0,0,,
PAT_834_4490_317.png,0,0,0,,
PAT_535_1011_567.png,0,0,0,,
PAT_526_3205_611.png,0,0,0,,
PAT_251_382_164.png,1,1,1,,
PAT_625_1184_994.png,0,0,0,,
PAT_255_388_231.png,0,0,0,,
PAT_471_909_394.png,0,0,0,,
PAT_528_3072_615.png,1,1,1,,
PAT_192_296_824.png,0,0,0,,
PAT_753_1833_710.png,1,0,1,,
PAT_1650_2913_374.png,0,0,0,,
PAT_1819_3569_217.png,0,0,0,,
PAT_881_1681_462.png,0,0,0,,
PAT_386_1554_455.png,0,0,0,,
PAT_1837_3608_851.png,0,0,0,,
PAT_1034_161_203.png,1,1,0,,
PAT_268_413_643.png,0,0,0,,
PAT_245_376_24.png,0,0,0,,
PAT_1755_3310_986.png,0,0,0,,
PAT_834_1574_276.png,0,0,0,,
PAT_1180_651_559.png,0,0,0,,
PAT_901_1716_497.png,0,0,0,,
PAT_1296_1038_1.png,0,0,0,,
PAT_877_1667_118.png,0,0,0,,
PAT_316_674_318.png,1,0,1,,
PAT_1351_1231_203.png,0,0,0,,
PAT_1179_641_735.png,0,0,0,,
PAT_2017_4164_500.png,0,0,0,,
PAT_86_1082_220.png,1,0,0,,
PAT_645_4042_489.png,0,0,0,,
PAT_270_417_257.png,0,0,0,,
PAT_1550_1888_216.png,0,0,0,,
PAT_823_1558_870.png,0,0,0,,
PAT_1418_1449_580.png,0,0,0,,
PAT_665_1260_16.png,0,0,0,,
PAT_899_1702_32.png,0,0,0,,
PAT_330_1437_506.png,0,0,0,,
PAT_265_407_137.png,0,0,0,,
PAT_1451_1560_616.png,0,0,0,,
PAT_202_307_927.png,1,1,1,,
PAT_1393_1354_535.png,1,1,1,,
PAT_520_983_221.png,0,0,0,,
PAT_1100_402_375.png,0,0,0,,
PAT_753_1427_496.png,0,0,0,,
PAT_1882_3718_982.png,0,0,0,,
PAT_53_82_657.png,1,1,1,,
PAT_359_741_973.png,1,1,1,,
PAT_523_988_851.png,1,1,1,,
PAT_208_314_741.png,0,0,0,,
PAT_205_311_255.png,0,0,0,,
PAT_1582_2574_989.png,0,0,0,,
PAT_1707_3146_743.png,1,1,0,,
PAT_1306_1086_124.png,0,0,0,,
PAT_1673_3011_440.png,0,0,0,,
PAT_267_411_513.png,0,0,0,,
PAT_237_363_344.png,0,0,0,,
PAT_41_57_2.png,0,0,0,,
PAT_468_4775_268.png,0,0,0,,
PAT_325_1506_999.png,0,0,0,,
PAT_1151_551_241.png,1,1,1,,
PAT_166_257_586.png,0,0,0,,
PAT_626_1186_898.png,0,0,0,,
PAT_1811_3487_560.png,0,0,0,,
PAT_1694_3110_213.png,0,0,0,,
PAT_56_88_274.png,0,0,0,,
PAT_1547_4231_928.png,0,0,0,,
PAT_251_382_576.png,1,1,1,,
PAT_248_379_695.png,0,0,0,,
PAT_1184_676_904.png,0,0,0,,
PAT_822_1551_573.png,0,0,0,,
PAT_890_1693_904.png,0,1,0,,
PAT_1969_3980_995.png,0,0,0,,
PAT_70_107_155.png,1,1,1,,
PAT_689_1307_354.png,0,0,0,,
PAT_1063_271_448.png,0,0,0,,
PAT_517_971_88.png,1,1,1,,
PAT_149_221_679.png,1,1,1,,
PAT_653_1234_311.png,0,0,0,,
PAT_202_308_721.png,1,1,1,,
PAT_214_329_300.png,0,0,0,,
PAT_135_202_593.png,0,0,0,,
